GDP,County,Description,Year,Total
12019,Clay,Real GDP (thousands of chained dollars),2017,5191434
12031,Duval,Real GDP (thousands of chained dollars),2017,62868205
12089,Nassau,Real GDP (thousands of chained dollars),2017,2646890
12109,St. Johns,Real GDP (thousands of chained dollars),2017,8970720
12019,Clay,Real GDP (thousands of chained dollars),2018,5408093
12031,Duval,Real GDP (thousands of chained dollars),2018,64655963
12089,Nassau,Real GDP (thousands of chained dollars),2018,2693033
12109,St. Johns,Real GDP (thousands of chained dollars),2018,9586921
12019,Clay,Real GDP (thousands of chained dollars),2019,5504610
12031,Duval,Real GDP (thousands of chained dollars),2019,67313811
12089,Nassau,Real GDP (thousands of chained dollars),2019,2881647
12109,St. Johns,Real GDP (thousands of chained dollars),2019,10025749
12019,Clay,Real GDP (thousands of chained dollars),2020,5477250
12031,Duval,Real GDP (thousands of chained dollars),2020,67932413
12089,Nassau,Real GDP (thousands of chained dollars),2020,3021533
12109,St. Johns,Real GDP (thousands of chained dollars),2020,10716450
12019,Clay,Real GDP (thousands of chained dollars),2021,5843169
12031,Duval,Real GDP (thousands of chained dollars),2021,72733497
12089,Nassau,Real GDP (thousands of chained dollars),2021,3281865
12109,St. Johns,Real GDP (thousands of chained dollars),2021,11721991
12019,Clay,Real GDP (thousands of chained dollars),2022,6039501
12031,Duval,Real GDP (thousands of chained dollars),2022,76660524
12089,Nassau,Real GDP (thousands of chained dollars),2022,3438877
12109,St. Johns,Real GDP (thousands of chained dollars),2022,12581337
