Index,Facility,Critical Segment,2019,2020,2021,2022
1,US 17,Madison St to I-95,1.14,1.06,1.13,1.64
2,US 1 (Philips Highway),SR-9B to Race Track Rd,1.11,1.08,1.09,1.44
3,SR 200 (Buccaneer Trail),US-17 to Miner Rd,1.11,1.1,1.17,1.19
4,I-95,US-90 to SR-13,1.18,1.02,1.05,1.94
5,I-295 (West Beltway),Pritchard Rd to US-23,1.02,1.02,1.03,1.19
6,I-295 (East Beltway),SR-202 to Town Center Pkwy,1.38,1.07,1.1,1.88
7,I-10,Cassat Ave to Ellis Rd,1.2,1.04,1.12,1.79
8,US 90 (Beach Boulevard),Bulls Bay Hwy to Jones Rd,1.12,1.09,1.14,1.26
9,SR 21 (Blanding Boulevard),SR-224 to Wells Rd,1.2,1.18,1.24,1.33
10,SR 13 (San Jose Boulevard),SR-10 to Mary St,1.11,1.14,1.11,1.22
11,SR 10 (Atlantic Boulevard),From SR-A1A west to 3rd St,1.13,1.09,1.11,1.42
