index,Year,County,Speed
1,2016,Clay,40.28
3,2017,Clay,40.66
5,2018,Clay,41.42
7,2019,Clay,41.52
9,2020,Clay,43.21
11,2016,Duval,46.75
13,2017,Duval,47.28
15,2018,Duval,47.79
17,2019,Duval,48.47
19,2020,Duval,53.72
21,2016,Nassau,54.01
23,2017,Nassau,53.36
25,2018,Nassau,53.7
27,2019,Nassau,53.72
29,2020,Nassau,54.46
31,2016,St. Johns,55.47
33,2017,St. Johns,55.79
35,2018,St. Johns,55.84
37,2019,St. Johns,55.7
39,2020,St. Johns,57.82
41,2021,Clay,43.2
43,2021,Duval,54
45,2021,Nassau,60.3
47,2021,St. Johns,60.2
