index,county,year,SHS_year,NHS_year,SHS_daily,NHS_daily,SHS_pkhour,NHS_pkhour
0,CLAY,2016,1160847.434,1000133.571,3180.404279,2740.092369,512.6872238,466.9815085
1,CLAY,2017,994247.8849,826862.0551,2723.966753,2265.375443,560.1034509,484.8525077
2,CLAY,2018,823119.0364,675956.6366,2255.120826,1851.936169,472.3232686,412.0473875
3,CLAY,2019,900883.3183,790311.6883,2468.173436,2165.237409,493.8727692,445.4673832
4,CLAY,2020,644534.9899,578984.0988,1765.849204,1586.257712,327.0897471,299.9854759
5,CLAY,2021,858859.7871,747904.3457,2353.040532,2049.053033,517.1473241,466.4573395
6,CLAY,2022,789320.7531,729619.9714,2162.522632,1998.958837,475.1373614,446.5401336
7,DUVAL,2016,13107500.27,9482973.965,35910.95944,25980.75061,7980.412553,6627.954569
8,DUVAL,2017,12071309.81,8244290.525,33072.08183,22587.09731,8903.394954,7258.468245
9,DUVAL,2018,10999541.16,7369780.931,30135.72861,20191.17973,8209.105102,6670.572563
10,DUVAL,2019,10910600.38,7753410.191,29892.0563,21242.22006,8046.681519,6712.682241
11,DUVAL,2020,5698725.532,3526799.83,15612.9464,9662.465249,2794.623329,2023.245933
12,DUVAL,2021,5227167.063,3533267.04,14321.00575,9680.183698,3071.610646,2343.779364
13,DUVAL,2022,6581462.539,4760258.076,18031.4046,13041.80334,4137.29394,3266.34867
14,NASSAU,2016,346963.3805,346651.0161,950.5844614,949.7286696,117.867155,117.8390844
15,NASSAU,2017,445218.2681,443534.4537,1219.776218,1215.16303,184.6160473,183.9673375
16,NASSAU,2018,484877.6836,487545.3252,1328.432033,1335.740639,180.5552373,181.1512669
17,NASSAU,2019,357298.2184,359599.619,978.8992756,985.2044817,113.4025595,113.0522876
18,NASSAU,2020,292995.5026,295184.1241,802.7273611,808.7235858,80.77894093,81.07419567
19,NASSAU,2021,208688.7374,167762.7598,571.7499693,459.6240029,78.28558785,62.55496278
20,NASSAU,2022,209856.0047,205453.9912,574.9479386,562.8876282,95.33038862,93.63483602
21,ST.JOHNS,2016,1223977.431,488596.5059,3353.362861,1338.620625,456.5277075,185.2045529
22,ST.JOHNS,2017,1683258.429,655668.6946,4611.666634,1796.352575,664.4175175,288.9902039
23,ST.JOHNS,2018,1481957.29,549701.7757,4060.156888,1506.032292,576.7965322,240.5637284
24,ST.JOHNS,2019,1440809.147,614623.7624,3947.422151,1683.900724,574.0277979,284.4875658
25,ST.JOHNS,2020,977083.9136,473092.7075,2676.942301,1296.144423,312.4758847,170.6911541
26,ST.JOHNS,2021,1373162.241,767015.2859,3762.08842,2101.41183,569.029157,386.2159949
27,ST.JOHNS,2022,1448794.553,786870.3194,3969.30008,2155.809121,563.4732565,354.7170709
